<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
12/10/22,12:00:00,0.9707200,0.9724600,0.9700000,0.9702900,175119
12/10/22,13:00:00,0.9703700,0.9717100,0.9696000,0.9708600,161156
12/10/22,14:00:00,0.9708300,0.9716900,0.9705000,0.9709500,48004
12/10/22,20:00:00,0.9689900,0.9690200,0.9678000,0.9683600,41977
12/10/22,21:00:00,0.9683300,0.9696700,0.9679000,0.9689800,93134
12/10/22,22:00:00,0.9690300,0.9720400,0.9683000,0.9697700,230692
12/10/22,23:00:00,0.9696900,0.9706700,0.9690000,0.9700900,99464
13/10/22,00:00:00,0.9700900,0.9704000,0.9695000,0.9702600,31264
13/10/22,01:00:00,0.9701200,0.9705000,0.9697500,0.9704700,8546
13/10/22,02:00:00,0.9703900,0.9710000,0.9701600,0.9707200,26529
13/10/22,03:00:00,0.9707800,0.9709600,0.9702000,0.9704500,37791
13/10/22,04:00:00,0.9704100,0.9722200,0.9696000,0.9714300,85210
13/10/22,05:00:00,0.9714200,0.9714800,0.9699000,0.9705100,87997
13/10/22,06:00:00,0.9704800,0.9706400,0.9694000,0.9697600,79834
13/10/22,07:00:00,0.9698000,0.9703500,0.9693000,0.9700500,61950
13/10/22,08:00:00,0.9700300,0.9706100,0.9696000,0.9703800,41143
13/10/22,09:00:00,0.9703100,0.9707000,0.9695000,0.9697100,69937
13/10/22,10:00:00,0.9697200,0.9709100,0.9687000,0.9689400,114461
13/10/22,11:00:00,0.9689700,0.9706900,0.9684000,0.9705800,156308
13/10/22,12:00:00,0.9705800,0.9714300,0.9696000,0.9713700,114608
13/10/22,13:00:00,0.9713600,0.9744100,0.9709000,0.9725800,142261
13/10/22,14:00:00,0.9726100,0.9735600,0.9716000,0.9725100,111956
13/10/22,15:00:00,0.9725000,0.9753100,0.9719000,0.9743000,221474
13/10/22,16:00:00,0.9744800,0.9748500,0.9629000,0.9667500,342667
13/10/22,17:00:00,0.9667800,0.9701900,0.9644000,0.9693800,408197
13/10/22,18:00:00,0.9693800,0.9726200,0.9674000,0.9717100,376644
13/10/22,19:00:00,0.9718000,0.9799100,0.9709000,0.9778900,392833
13/10/22,20:00:00,0.9779200,0.9799000,0.9763000,0.9774500,271220
13/10/22,21:00:00,0.9774400,0.9806100,0.9767000,0.9795700,213229
13/10/22,22:00:00,0.9796300,0.9800400,0.9780000,0.9786600,171780
13/10/22,23:00:00,0.9786200,0.9789400,0.9769000,0.9774000,153208
14/10/22,00:00:00,0.9774700,0.9781000,0.9771000,0.9776000,42018
14/10/22,01:00:00,0.9776300,0.9779000,0.9770800,0.9777100,14551
14/10/22,02:00:00,0.9774900,0.9778800,0.9767000,0.9776900,35614
14/10/22,03:00:00,0.9776800,0.9777600,0.9765000,0.9767100,46671
14/10/22,04:00:00,0.9767200,0.9778900,0.9760000,0.9768100,126568
14/10/22,05:00:00,0.9767900,0.9808700,0.9766000,0.9799400,134829
14/10/22,06:00:00,0.9799400,0.9802100,0.9788000,0.9790200,107982
14/10/22,07:00:00,0.9790000,0.9797400,0.9783000,0.9786400,88319
14/10/22,08:00:00,0.9787200,0.9789900,0.9777000,0.9781800,84806
14/10/22,09:00:00,0.9781700,0.9786500,0.9773000,0.9775300,107263
14/10/22,10:00:00,0.9776100,0.9797200,0.9774000,0.9788000,194694
14/10/22,11:00:00,0.9787900,0.9788300,0.9751000,0.9766000,222026
14/10/22,12:00:00,0.9767400,0.9768000,0.9743000,0.9749900,179538
14/10/22,13:00:00,0.9750100,0.9753900,0.9718000,0.9729600,182233
14/10/22,14:00:00,0.9730000,0.9757800,0.9723000,0.9734000,215458
14/10/22,15:00:00,0.9733800,0.9741800,0.9707000,0.9718500,173734
14/10/22,16:00:00,0.9718700,0.9776800,0.9712500,0.9773000,238643
14/10/22,17:00:00,0.9772900,0.9799700,0.9729000,0.9736700,352112
14/10/22,18:00:00,0.9735900,0.9754400,0.9706000,0.9753500,395646
14/10/22,19:00:00,0.9753500,0.9768900,0.9732000,0.9738700,228796
14/10/22,20:00:00,0.9738400,0.9748300,0.9711000,0.9716800,206088
14/10/22,21:00:00,0.9717200,0.9730100,0.9712000,0.9728200,139825
14/10/22,22:00:00,0.9728100,0.9732000,0.9717000,0.9723500,108171
14/10/22,23:00:00,0.9723100,0.9729200,0.9715000,0.9727300,107591
15/10/22,00:00:00,0.9728100,0.9730800,0.9718000,0.9719400,40205
15/10/22,01:00:00,0.9719000,0.9719000,0.9719000,0.9719000,2
16/10/22,23:00:00,0.9736000,0.9736000,0.9736000,0.9736000,6
17/10/22,00:00:00,0.9736000,0.9737900,0.9710000,0.9710000,36
17/10/22,01:00:00,0.9723200,0.9725500,0.9717000,0.9722300,9199
17/10/22,02:00:00,0.9722500,0.9738100,0.9720000,0.9732300,41799
17/10/22,03:00:00,0.9732400,0.9743100,0.9728400,0.9739400,88659
17/10/22,04:00:00,0.9739400,0.9750800,0.9734800,0.9745700,138991
17/10/22,05:00:00,0.9745500,0.9750700,0.9736200,0.9744900,115867
17/10/22,06:00:00,0.9745300,0.9752400,0.9739300,0.9744700,92424
17/10/22,07:00:00,0.9744200,0.9747700,0.9736200,0.9739300,69457
17/10/22,08:00:00,0.9740000,0.9740100,0.9730000,0.9736400,70998
17/10/22,09:00:00,0.9735900,0.9755900,0.9733300,0.9751800,104400
17/10/22,10:00:00,0.9751900,0.9754200,0.9728400,0.9731800,147533
17/10/22,11:00:00,0.9731600,0.9757100,0.9730000,0.9746900,236384
17/10/22,12:00:00,0.9746600,0.9754500,0.9718000,0.9738400,187342
17/10/22,13:00:00,0.9738100,0.9757700,0.9734500,0.9752700,135022
17/10/22,14:00:00,0.9751900,0.9770700,0.9744000,0.9748500,162801
17/10/22,15:00:00,0.9748100,0.9752000,0.9729900,0.9740600,134686
17/10/22,16:00:00,0.9740200,0.9785000,0.9728000,0.9775100,176090
17/10/22,17:00:00,0.9775100,0.9798300,0.9770500,0.9782100,179054
17/10/22,18:00:00,0.9780000,0.9819200,0.9780000,0.9816700,240154
17/10/22,19:00:00,0.9815900,0.9848500,0.9802500,0.9841700,173545
17/10/22,20:00:00,0.9841700,0.9852200,0.9833000,0.9839000,147452
17/10/22,21:00:00,0.9839000,0.9851000,0.9834900,0.9841400,130161
17/10/22,22:00:00,0.9841300,0.9849000,0.9834700,0.9846800,100992
17/10/22,23:00:00,0.9846900,0.9846900,0.9830200,0.9835000,113357
18/10/22,00:00:00,0.9834700,0.9844800,0.9833000,0.9839400,42647
18/10/22,01:00:00,0.9838900,0.9843300,0.9833000,0.9840000,7903
18/10/22,02:00:00,0.9838900,0.9845900,0.9834200,0.9841700,37701
18/10/22,03:00:00,0.9842400,0.9846900,0.9836500,0.9843500,70381
18/10/22,04:00:00,0.9843300,0.9852900,0.9837100,0.9840700,108598
18/10/22,05:00:00,0.9841300,0.9841800,0.9827200,0.9831900,107269
18/10/22,06:00:00,0.9832000,0.9835900,0.9824600,0.9831500,75441
18/10/22,07:00:00,0.9831600,0.9845200,0.9820800,0.9840300,99524
18/10/22,08:00:00,0.9840400,0.9866500,0.9838500,0.9857400,132392
